"Run ID","Assay Name","Test Name","Test Date","Qubit tube conc.","Qubit tube conc. units","Original sample conc.","Original sample conc. units","Sample Volume (uL)","Dilution Factor","Std 1 RFU","Std 2 RFU","Std 3 RFU","Excitation","Emission","Green RFU","Far Red RFU"
"2024-08-17_045016","RNA High Sensitivity","Sample_#240817-045324","17/08/2024 04:53:24 AM","31.3","ng/mL","6.26","ng/uL","1","200","94.63","1803.97",,"Red","Far Red",,"205.70"
"2024-08-17_045016","RNA High Sensitivity","Sample_#240817-045313","17/08/2024 04:53:13 AM","55.4","ng/mL","11.1","ng/uL","1","200","94.63","1803.97",,"Red","Far Red",,"299.41"
"2024-08-17_045016","RNA High Sensitivity","Sample_#240817-045302","17/08/2024 04:53:02 AM","27.3","ng/mL","5.46","ng/uL","1","200","94.63","1803.97",,"Red","Far Red",,"190.51"
"2024-08-17_045016","RNA High Sensitivity","Sample_#240817-045252","17/08/2024 04:52:52 AM","36.6","ng/mL","7.32","ng/uL","1","200","94.63","1803.97",,"Red","Far Red",,"226.36"
"2024-08-17_045016","RNA High Sensitivity","Sample_#240817-045242","17/08/2024 04:52:42 AM","42.3","ng/mL","8.46","ng/uL","1","200","94.63","1803.97",,"Red","Far Red",,"248.35"
"2024-08-17_045016","RNA High Sensitivity","Sample_#240817-045229","17/08/2024 04:52:29 AM","54.6","ng/mL","10.9","ng/uL","1","200","94.63","1803.97",,"Red","Far Red",,"296.64"
"2024-08-17_045016","RNA High Sensitivity","Sample_#240817-045211","17/08/2024 04:52:11 AM","55.6","ng/mL","11.1","ng/uL","1","200","94.63","1803.97",,"Red","Far Red",,"300.47"
"2024-08-17_045016","RNA High Sensitivity","Sample_#240817-045201","17/08/2024 04:52:01 AM","36.9","ng/mL","7.38","ng/uL","1","200","94.63","1803.97",,"Red","Far Red",,"227.18"
"2024-08-17_045016","RNA High Sensitivity","Sample_#240817-045150","17/08/2024 04:51:50 AM","42.3","ng/mL","8.46","ng/uL","1","200","94.63","1803.97",,"Red","Far Red",,"248.46"
"2024-08-17_045016","RNA High Sensitivity","Sample_#240817-045137","17/08/2024 04:51:37 AM","27.8","ng/mL","5.56","ng/uL","1","200","94.63","1803.97",,"Red","Far Red",,"192.48"
"2024-08-17_045016","RNA High Sensitivity","Sample_#240817-045123","17/08/2024 04:51:23 AM","31.6","ng/mL","6.32","ng/uL","1","200","94.63","1803.97",,"Red","Far Red",,"206.95"
"2024-08-17_045016","RNA High Sensitivity","Sample_#240817-045109","17/08/2024 04:51:09 AM","54.7","ng/mL","10.9","ng/uL","1","200","94.63","1803.97",,"Red","Far Red",,"296.77"
