"Run ID","Assay Name","Test Name","Test Date","Qubit tube conc.","Qubit tube conc. units","Original sample conc.","Original sample conc. units","Sample Volume (uL)","Dilution Factor","Std 1 RFU","Std 2 RFU","Std 3 RFU","Excitation","Emission","Green RFU","Far Red RFU"
"2024-08-21_054905","RNA High Sensitivity","Sample_#240821-055238","21/08/2024 05:52:38 AM","57.0","ng/mL","11.4","ng/uL","1","200","92.70","1770.25",,"Red","Far Red",,"299.89"
"2024-08-21_054905","RNA High Sensitivity","Sample_#240821-055226","21/08/2024 05:52:26 AM","53.9","ng/mL","10.8","ng/uL","1","200","92.70","1770.25",,"Red","Far Red",,"287.90"
"2024-08-21_054905","RNA High Sensitivity","Sample_#240821-055215","21/08/2024 05:52:15 AM","35.1","ng/mL","7.02","ng/uL","1","200","92.70","1770.25",,"Red","Far Red",,"216.28"
"2024-08-21_054905","RNA High Sensitivity","Sample_#240821-055203","21/08/2024 05:52:03 AM","76.9","ng/mL","15.4","ng/uL","1","200","92.70","1770.25",,"Red","Far Red",,"377.07"
"2024-08-21_054905","RNA High Sensitivity","Sample_#240821-055151","21/08/2024 05:51:51 AM","52.2","ng/mL","10.4","ng/uL","1","200","92.70","1770.25",,"Red","Far Red",,"281.64"
"2024-08-21_054905","RNA High Sensitivity","Sample_#240821-055140","21/08/2024 05:51:40 AM","40.9","ng/mL","8.18","ng/uL","1","200","92.70","1770.25",,"Red","Far Red",,"238.19"
"2024-08-21_054905","RNA High Sensitivity","Sample_#240821-055129","21/08/2024 05:51:29 AM","47.6","ng/mL","9.52","ng/uL","1","200","92.70","1770.25",,"Red","Far Red",,"264.00"
"2024-08-21_054905","RNA High Sensitivity","Sample_#240821-055117","21/08/2024 05:51:17 AM","33.4","ng/mL","6.68","ng/uL","1","200","92.70","1770.25",,"Red","Far Red",,"209.62"
"2024-08-21_054905","RNA High Sensitivity","Sample_#240821-055106","21/08/2024 05:51:06 AM","57.2","ng/mL","11.4","ng/uL","1","200","92.70","1770.25",,"Red","Far Red",,"300.70"
"2024-08-21_054905","RNA High Sensitivity","Sample_#240821-055056","21/08/2024 05:50:56 AM","53.7","ng/mL","10.7","ng/uL","1","200","92.70","1770.25",,"Red","Far Red",,"287.30"
"2024-08-21_054905","RNA High Sensitivity","Sample_#240821-055045","21/08/2024 05:50:45 AM","36.0","ng/mL","7.20","ng/uL","1","200","92.70","1770.25",,"Red","Far Red",,"219.38"
"2024-08-21_054905","RNA High Sensitivity","Sample_#240821-055034","21/08/2024 05:50:34 AM","77.1","ng/mL","15.4","ng/uL","1","200","92.70","1770.25",,"Red","Far Red",,"377.98"
"2024-08-21_054905","RNA High Sensitivity","Sample_#240821-055021","21/08/2024 05:50:21 AM","52.9","ng/mL","10.6","ng/uL","1","200","92.70","1770.25",,"Red","Far Red",,"284.34"
"2024-08-21_054905","RNA High Sensitivity","Sample_#240821-055009","21/08/2024 05:50:09 AM","40.9","ng/mL","8.18","ng/uL","1","200","92.70","1770.25",,"Red","Far Red",,"238.32"
"2024-08-21_054905","RNA High Sensitivity","Sample_#240821-054956","21/08/2024 05:49:56 AM","48.0","ng/mL","9.60","ng/uL","1","200","92.70","1770.25",,"Red","Far Red",,"265.28"
"2024-08-21_054905","RNA High Sensitivity","Sample_#240821-054943","21/08/2024 05:49:43 AM","33.3","ng/mL","6.66","ng/uL","1","200","92.70","1770.25",,"Red","Far Red",,"209.41"
