Sample	Top over-represented sequence	Sum of remaining over-represented sequences
101112C14_R1_001	0.0	0.0
101112C14_R2_001	0.0	0.0
101112C4_R1_001	0.0	0.0
101112C4_R2_001	0.0	0.0
101112C9_R1_001	0.0	0.0
101112C9_R2_001	0.0	0.0
101112H14_R1_001	0.0	0.0
101112H14_R2_001	0.0	0.0
101112H4_R1_001	0.0	0.0
101112H4_R2_001	0.0	0.0
101112H9_R1_001	0.0	0.0
101112H9_R2_001	0.0	0.0
101112L14_R1_001	0.0	0.0
101112L14_R2_001	0.0	0.0
101112L4_R1_001	0.0	0.0
101112L4_R2_001	0.0	0.0
101112L9_R1_001	0.0	0.0
101112L9_R2_001	0.0	0.0
101112M14_R1_001	0.0	0.0
101112M14_R2_001	0.0	0.0
101112M4_R1_001	0.0	0.0
101112M4_R2_001	0.0	0.0
101112M9_R1_001	0.0	0.0
101112M9_R2_001	0.0	0.0
123C14_R1_001	0.0	0.0
123C14_R2_001	0.0	0.0
123C4_R1_001	0.0	0.0
123C4_R2_001	0.0	0.0
123C9_R1_001	0.0	0.0
123C9_R2_001	0.0	0.0
123H14_R1_001	0.0	0.0
123H14_R2_001	0.0	0.0
123H4_R1_001	0.0	0.0
123H4_R2_001	0.0	0.0
123H9_R1_001	0.1131937602084339	0.0
123H9_R2_001	0.11466509724049913	0.0
123L14_R1_001	0.0	0.0
123L14_R2_001	0.0	0.0
123L4_R1_001	0.0	0.0
123L4_R2_001	0.0	0.0
123L9_R1_001	0.0	0.0
123L9_R2_001	0.0	0.0
123M4_R1_001	0.0	0.0
123M4_R2_001	0.0	0.0
123M9_R1_001	0.0	0.0
123M9_R2_001	0.0	0.0
131415C14_R1_001	0.0	0.0
131415C14_R2_001	0.0	0.0
131415C4_R1_001	0.0	0.0
131415C4_R2_001	0.0	0.0
131415C9_R1_001	0.0	0.0
131415C9_R2_001	0.0	0.0
131415H14_R1_001	0.0	0.0
131415H14_R2_001	0.0	0.0
131415H4_R1_001	0.0	0.0
131415H4_R2_001	0.0	0.0
131415H9_R1_001	0.0	0.0
131415H9_R2_001	0.0	0.0
131415L14_R1_001	0.0	0.0
131415L14_R2_001	0.0	0.0
131415L4_R1_001	0.29744198568166996	3.2881433305016814
131415L4_R2_001	0.29859509682795676	3.275238416764051
131415L9_R1_001	0.0	0.0
131415L9_R2_001	0.0	0.0
131415M14_R1_001	0.0	0.0
131415M14_R2_001	0.0	0.0
131415M4_R1_001	0.0	0.0
131415M4_R2_001	0.0	0.0
131415M9_R1_001	0.0	0.0
131415M9_R2_001	0.0	0.0
13M14_R1_001	0.0	0.0
13M14_R2_001	0.0	0.0
456C4_R1_001	0.0	0.0
456C4_R2_001	0.0	0.0
456H4_R1_001	0.14401137139846237	0.23236540027276315
456H4_R2_001	0.14190516133598743	0.22835470167492353
456H9_R1_001	0.0	0.0
456H9_R2_001	0.0	0.0
456L14_R1_001	0.0	0.0
456L14_R2_001	0.0	0.0
456L4_R1_001	0.19756028961049882	0.5765185848867858
456L4_R2_001	0.19843016495736163	0.5772666776850875
456L9_R1_001	0.0	0.0
456L9_R2_001	0.0	0.0
456M14_R1_001	0.0	0.0
456M14_R2_001	0.0	0.0
456M4_R1_001	0.0	0.0
456M4_R2_001	0.0	0.0
456M9_R1_001	0.10783463468953527	0.0
456M9_R2_001	0.11094344630153936	0.0
45C14_R1_001	0.20054334240372304	0.5969112955533801
45C14_R2_001	0.20259711942630798	0.6941711275290914
45C9_R1_001	0.0	0.0
45C9_R2_001	0.0	0.0
45H14_R1_001	0.0	0.0
45H14_R2_001	0.0	0.0
67C9_R1_001	0.0	0.0
67C9_R2_001	0.0	0.0
6C14_R1_001	0.0	0.0
6C14_R2_001	0.0	0.0
789C4_R1_001	0.0	0.0
789C4_R2_001	0.0	0.0
789H14_R1_001	0.0	0.0
789H14_R2_001	0.0	0.0
789H4_R1_001	0.0	0.0
789H4_R2_001	0.0	0.0
789H9_R1_001	0.0	0.0
789H9_R2_001	0.0	0.0
789L14_R1_001	0.0	0.0
789L14_R2_001	0.0	0.0
789L4_R1_001	0.0	0.0
789L4_R2_001	0.0	0.0
789L9_R1_001	0.0	0.0
789L9_R2_001	0.0	0.0
789M14_R1_001	0.0	0.0
789M14_R2_001	0.0	0.0
789M4_R1_001	0.0	0.0
789M4_R2_001	0.0	0.0
7C14_R1_001	0.0	0.0
7C14_R2_001	0.0	0.0
89C14_R1_001	0.0	0.0
89C14_R2_001	0.0	0.0
89C9_R1_001	0.0	0.0
89C9_R2_001	0.0	0.0
89M9_R1_001	0.0	0.0
89M9_R2_001	0.0	0.0
