Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
101112C14_R1_001	(13.0, 3.0)	(14.0, 50.0)	(15.0, 264.0)	(16.0, 639.0)	(17.0, 972.0)	(18.0, 1440.0)	(19.0, 1747.0)	(20.0, 2461.0)	(21.0, 3521.0)	(22.0, 5355.0)	(23.0, 8352.0)	(24.0, 14283.0)	(25.0, 25496.0)	(26.0, 43528.0)	(27.0, 71875.0)	(28.0, 111158.0)	(29.0, 161189.0)	(30.0, 220117.0)	(31.0, 291409.0)	(32.0, 381407.0)	(33.0, 524657.0)	(34.0, 842292.0)	(35.0, 2031758.0)	(36.0, 12262128.0)	(37.0, 1369678.0)					
101112C14_R2_001	(11.0, 6.0)	(12.0, 70.0)	(13.0, 361.0)	(14.0, 771.0)	(15.0, 1138.0)	(16.0, 1666.0)	(17.0, 2817.0)	(18.0, 4907.0)	(19.0, 9203.0)	(20.0, 17022.0)	(21.0, 28382.0)	(22.0, 41381.0)	(23.0, 55264.0)	(24.0, 69351.0)	(25.0, 84817.0)	(26.0, 105695.0)	(27.0, 132455.0)	(28.0, 166213.0)	(29.0, 213584.0)	(30.0, 276758.0)	(31.0, 376365.0)	(32.0, 550209.0)	(33.0, 882080.0)	(34.0, 1668298.0)	(35.0, 4188116.0)	(36.0, 9282023.0)	(37.0, 216827.0)			
101112C4_R1_001	(13.0, 8.0)	(14.0, 202.0)	(15.0, 787.0)	(16.0, 1682.0)	(17.0, 2535.0)	(18.0, 3234.0)	(19.0, 3928.0)	(20.0, 4720.0)	(21.0, 5861.0)	(22.0, 8069.0)	(23.0, 11917.0)	(24.0, 18367.0)	(25.0, 30176.0)	(26.0, 48166.0)	(27.0, 75721.0)	(28.0, 114100.0)	(29.0, 163809.0)	(30.0, 223706.0)	(31.0, 296997.0)	(32.0, 389655.0)	(33.0, 533421.0)	(34.0, 849547.0)	(35.0, 1983876.0)	(36.0, 12387141.0)	(37.0, 1642123.0)					
101112C4_R2_001	(11.0, 2.0)	(12.0, 94.0)	(13.0, 508.0)	(14.0, 1098.0)	(15.0, 1664.0)	(16.0, 2419.0)	(17.0, 3716.0)	(18.0, 5831.0)	(19.0, 9688.0)	(20.0, 16162.0)	(21.0, 25377.0)	(22.0, 36335.0)	(23.0, 48631.0)	(24.0, 60072.0)	(25.0, 73693.0)	(26.0, 92230.0)	(27.0, 115793.0)	(28.0, 146273.0)	(29.0, 186636.0)	(30.0, 242290.0)	(31.0, 326867.0)	(32.0, 472894.0)	(33.0, 755156.0)	(34.0, 1422621.0)	(35.0, 3680417.0)	(36.0, 10680270.0)	(37.0, 393011.0)			
101112C9_R1_001	(13.0, 7.0)	(14.0, 80.0)	(15.0, 350.0)	(16.0, 838.0)	(17.0, 1373.0)	(18.0, 1875.0)	(19.0, 2520.0)	(20.0, 3604.0)	(21.0, 5315.0)	(22.0, 7772.0)	(23.0, 11151.0)	(24.0, 17233.0)	(25.0, 27816.0)	(26.0, 44911.0)	(27.0, 69996.0)	(28.0, 105444.0)	(29.0, 150094.0)	(30.0, 203962.0)	(31.0, 267344.0)	(32.0, 350057.0)	(33.0, 476432.0)	(34.0, 751019.0)	(35.0, 1752517.0)	(36.0, 10858140.0)	(37.0, 1484576.0)	(38.0, 258622.0)	(39.0, 1259297.0)	(40.0, 445201.0)		
101112C9_R2_001	(11.0, 2.0)	(12.0, 77.0)	(13.0, 403.0)	(14.0, 765.0)	(15.0, 1221.0)	(16.0, 2631.0)	(17.0, 6516.0)	(18.0, 12951.0)	(19.0, 19448.0)	(20.0, 28079.0)	(21.0, 39369.0)	(22.0, 49995.0)	(23.0, 61022.0)	(24.0, 73682.0)	(25.0, 86894.0)	(26.0, 104731.0)	(27.0, 127880.0)	(28.0, 159251.0)	(29.0, 198935.0)	(30.0, 254929.0)	(31.0, 339329.0)	(32.0, 487484.0)	(33.0, 767981.0)	(34.0, 1442593.0)	(35.0, 3680204.0)	(36.0, 8595596.0)	(37.0, 396936.0)	(38.0, 346432.0)	(39.0, 1086127.0)	(40.0, 186083.0)
101112H14_R1_001	(13.0, 2.0)	(14.0, 52.0)	(15.0, 269.0)	(16.0, 551.0)	(17.0, 1005.0)	(18.0, 1376.0)	(19.0, 2111.0)	(20.0, 3453.0)	(21.0, 5516.0)	(22.0, 7998.0)	(23.0, 11438.0)	(24.0, 17368.0)	(25.0, 27677.0)	(26.0, 44397.0)	(27.0, 69692.0)	(28.0, 103678.0)	(29.0, 147649.0)	(30.0, 201319.0)	(31.0, 262747.0)	(32.0, 346199.0)	(33.0, 472258.0)	(34.0, 752523.0)	(35.0, 1767023.0)	(36.0, 10407438.0)	(37.0, 1352796.0)	(38.0, 352546.0)	(39.0, 1669919.0)	(40.0, 569507.0)		
101112H14_R2_001	(11.0, 6.0)	(12.0, 67.0)	(13.0, 346.0)	(14.0, 752.0)	(15.0, 1120.0)	(16.0, 2789.0)	(17.0, 7452.0)	(18.0, 15029.0)	(19.0, 21646.0)	(20.0, 29461.0)	(21.0, 39544.0)	(22.0, 49338.0)	(23.0, 57485.0)	(24.0, 68792.0)	(25.0, 80911.0)	(26.0, 97268.0)	(27.0, 117551.0)	(28.0, 146736.0)	(29.0, 184965.0)	(30.0, 238416.0)	(31.0, 320343.0)	(32.0, 460788.0)	(33.0, 728094.0)	(34.0, 1350676.0)	(35.0, 3387695.0)	(36.0, 8520610.0)	(37.0, 483134.0)	(38.0, 453301.0)	(39.0, 1460553.0)	(40.0, 273639.0)
101112H4_R1_001	(13.0, 8.0)	(14.0, 179.0)	(15.0, 758.0)	(16.0, 1553.0)	(17.0, 2239.0)	(18.0, 2957.0)	(19.0, 3669.0)	(20.0, 4986.0)	(21.0, 6860.0)	(22.0, 9735.0)	(23.0, 13733.0)	(24.0, 20154.0)	(25.0, 31106.0)	(26.0, 48529.0)	(27.0, 72770.0)	(28.0, 107160.0)	(29.0, 151264.0)	(30.0, 204735.0)	(31.0, 269608.0)	(32.0, 353166.0)	(33.0, 479262.0)	(34.0, 747783.0)	(35.0, 1717096.0)	(36.0, 11148169.0)	(37.0, 1746766.0)	(38.0, 227839.0)	(39.0, 1146032.0)	(40.0, 425968.0)		
101112H4_R2_001	(11.0, 3.0)	(12.0, 75.0)	(13.0, 425.0)	(14.0, 1013.0)	(15.0, 1703.0)	(16.0, 3084.0)	(17.0, 6494.0)	(18.0, 12142.0)	(19.0, 17871.0)	(20.0, 25303.0)	(21.0, 33544.0)	(22.0, 43542.0)	(23.0, 53823.0)	(24.0, 63302.0)	(25.0, 75079.0)	(26.0, 91710.0)	(27.0, 112690.0)	(28.0, 139698.0)	(29.0, 176848.0)	(30.0, 227025.0)	(31.0, 303383.0)	(32.0, 431569.0)	(33.0, 676511.0)	(34.0, 1253647.0)	(35.0, 3239988.0)	(36.0, 9884176.0)	(37.0, 529889.0)	(38.0, 313888.0)	(39.0, 1029051.0)	(40.0, 196608.0)
