.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
101112C14_R1_001	1	1	1	1	0.25	0.5	1	1	0.25	1	1
101112C14_R2_001	1	1	1	1	0.5	0.5	1	1	0.5	1	1
101112C4_R1_001	1	1	1	1	0.5	0.25	1	1	0.25	1	1
101112C4_R2_001	1	1	1	1	0.5	0.25	1	1	0.25	1	1
101112C9_R1_001	1	1	1	1	0.25	0.5	1	1	0.5	1	1
101112C9_R2_001	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
101112H14_R1_001	1	1	1	1	0.25	1	1	1	0.5	1	0.5
101112H14_R2_001	1	1	1	1	0.5	1	1	1	0.5	0.5	0.5
101112H4_R1_001	1	1	1	1	0.5	0.25	1	1	0.5	1	0.5
101112H4_R2_001	1	1	1	1	0.5	0.25	1	1	0.5	0.5	0.5
101112H9_R1_001	1	1	1	1	0.25	0.5	1	1	0.5	1	1
101112H9_R2_001	1	1	1	1	0.5	0.5	1	1	0.5	0.5	1
101112L14_R1_001	1	1	1	1	0.25	1	1	1	0.5	1	1
101112L14_R2_001	1	1	1	1	0.25	0.5	1	1	0.5	1	1
101112L4_R1_001	1	1	1	1	0.5	0.25	1	1	0.25	0.5	1
101112L4_R2_001	1	1	1	1	0.5	0.25	1	1	0.25	1	1
101112L9_R1_001	1	1	1	1	0.25	0.5	1	1	0.5	1	1
101112L9_R2_001	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
101112M14_R1_001	1	1	1	1	0.25	1	1	1	0.5	1	1
101112M14_R2_001	1	1	1	1	0.25	1	1	1	0.5	1	1
101112M4_R1_001	1	1	1	1	0.25	0.25	1	1	0.5	1	1
101112M4_R2_001	1	1	1	1	0.5	0.25	1	1	0.5	0.5	1
101112M9_R1_001	1	1	1	1	0.25	0.5	1	1	0.5	1	0.5
101112M9_R2_001	1	1	1	1	0.25	0.5	1	1	0.5	0.5	0.5
123C14_R1_001	1	1	1	1	0.25	1	1	1	0.5	1	1
123C14_R2_001	1	1	1	1	0.25	1	1	1	0.5	0.5	1
123C4_R1_001	1	1	1	1	0.25	1	1	1	0.25	1	0.5
123C4_R2_001	1	1	1	1	0.5	1	1	1	0.5	0.5	0.5
123C9_R1_001	1	1	1	1	0.25	0.5	1	1	0.5	1	1
123C9_R2_001	1	1	1	1	0.25	1	1	1	0.5	0.5	1
123H14_R1_001	1	1	1	1	0.25	1	1	1	0.25	1	0.5
123H14_R2_001	1	1	1	1	0.25	1	1	1	0.25	1	0.5
123H4_R1_001	1	1	1	1	0.5	0.25	1	1	0.5	1	0.5
123H4_R2_001	1	1	1	1	0.5	0.25	1	1	0.5	0.5	0.5
123H9_R1_001	1	1	1	1	0.25	1	1	1	0.25	0.5	0.25
123H9_R2_001	1	1	1	1	0.5	1	1	1	0.5	0.5	0.25
123L14_R1_001	1	1	1	1	0.25	0.5	1	1	0.5	1	0.5
123L14_R2_001	1	1	1	1	0.25	0.5	1	1	0.5	0.5	0.5
123L4_R1_001	1	1	1	1	0.5	0.25	1	1	0.25	0.5	1
123L4_R2_001	1	1	1	1	0.5	0.25	1	1	0.5	0.5	1
123L9_R1_001	1	1	1	1	0.25	1	1	1	0.5	1	0.5
123L9_R2_001	1	1	1	1	0.25	1	1	1	0.5	0.5	0.5
123M4_R1_001	1	1	1	1	0.25	1	1	1	0.25	1	0.5
123M4_R2_001	1	1	1	1	0.5	0.5	1	1	0.5	0.5	0.5
123M9_R1_001	1	1	1	1	0.25	0.25	1	1	0.5	1	1
123M9_R2_001	1	1	1	1	0.25	0.5	1	1	0.5	1	1
131415C14_R1_001	1	1	1	1	0.25	1	1	1	0.5	1	0.5
131415C14_R2_001	1	1	1	1	0.25	1	1	1	0.5	0.5	0.5
131415C4_R1_001	1	1	1	1	0.5	0.5	1	1	0.25	1	0.5
131415C4_R2_001	1	1	1	1	0.5	0.5	1	1	0.5	1	0.5
131415C9_R1_001	1	1	1	1	0.25	0.5	1	1	0.5	1	1
131415C9_R2_001	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
131415H14_R1_001	1	1	1	1	0.25	0.5	1	1	0.5	1	0.5
131415H14_R2_001	1	1	1	1	0.5	0.5	1	1	0.5	0.5	0.5
131415H4_R1_001	1	1	1	1	0.5	0.25	1	1	0.25	1	0.5
131415H4_R2_001	1	1	1	1	0.5	0.25	1	1	0.25	1	0.5
131415H9_R1_001	1	1	1	1	0.25	0.5	1	1	0.5	1	1
131415H9_R2_001	1	1	1	1	0.5	0.5	1	1	0.5	0.5	1
131415L14_R1_001	1	1	1	1	0.25	1	1	1	0.5	1	1
131415L14_R2_001	1	1	1	1	0.25	1	1	1	0.5	0.5	1
131415L4_R1_001	1	1	1	1	0.5	0.25	1	1	0.25	0.5	1
131415L4_R2_001	1	1	1	1	0.5	0.25	1	1	0.25	0.5	1
131415L9_R1_001	1	1	1	1	0.25	0.5	1	1	0.5	1	1
131415L9_R2_001	1	1	1	1	0.5	0.5	1	1	0.5	0.5	1
131415M14_R1_001	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
131415M14_R2_001	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
131415M4_R1_001	1	1	1	1	0.5	0.5	1	1	0.5	1	1
131415M4_R2_001	1	1	1	1	0.5	0.5	1	1	0.5	0.5	1
131415M9_R1_001	1	1	1	1	0.25	0.5	1	1	0.5	1	1
131415M9_R2_001	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
13M14_R1_001	1	1	1	1	0.25	1	1	1	0.25	1	0.5
13M14_R2_001	1	1	1	1	0.5	1	1	1	0.25	1	0.5
456C4_R1_001	1	1	1	1	0.5	0.25	1	1	0.5	1	0.5
456C4_R2_001	1	1	1	1	0.5	0.25	1	1	0.5	0.5	0.5
456H4_R1_001	1	1	1	1	0.5	0.25	1	1	0.25	0.5	0.5
456H4_R2_001	1	1	1	1	0.5	0.25	1	1	0.25	0.5	0.5
456H9_R1_001	1	1	1	1	0.5	0.5	1	1	0.25	0.5	1
456H9_R2_001	1	1	1	1	0.5	0.5	1	1	0.25	0.5	1
456L14_R1_001	1	1	1	1	0.25	1	1	1	0.5	1	0.5
456L14_R2_001	1	1	1	1	0.5	0.5	1	1	0.5	0.5	0.5
456L4_R1_001	1	1	1	1	0.5	0.25	1	1	0.25	0.5	0.5
456L4_R2_001	1	1	1	1	0.5	0.25	1	1	0.25	0.5	0.5
456L9_R1_001	1	1	1	1	0.25	1	1	1	0.25	1	0.5
456L9_R2_001	1	1	1	1	0.5	1	1	1	0.25	1	0.5
456M14_R1_001	1	1	1	1	0.25	0.5	1	1	0.5	1	1
456M14_R2_001	1	1	1	1	0.25	1	1	1	0.5	1	1
456M4_R1_001	1	1	1	1	0.25	0.25	1	1	0.5	0.5	1
456M4_R2_001	1	1	1	1	0.5	0.25	1	1	0.5	0.5	1
456M9_R1_001	1	1	1	1	0.5	0.5	1	1	0.25	0.5	0.5
456M9_R2_001	1	1	1	1	0.5	0.5	1	1	0.5	0.5	0.5
45C14_R1_001	1	1	1	1	0.5	0.25	1	1	0.25	0.5	1
45C14_R2_001	1	1	1	1	0.5	0.25	1	1	0.25	0.5	1
45C9_R1_001	1	1	1	1	0.25	0.5	1	1	0.25	0.5	0.5
45C9_R2_001	1	1	1	1	0.5	0.5	1	1	0.5	0.5	0.5
45H14_R1_001	1	1	1	1	0.5	0.5	1	1	0.25	1	1
45H14_R2_001	1	1	1	1	0.5	0.5	1	1	0.25	0.5	1
67C9_R1_001	1	1	1	1	0.5	0.5	1	1	0.25	1	1
67C9_R2_001	1	1	1	1	0.5	0.5	1	1	0.25	1	1
6C14_R1_001	1	1	1	1	0.5	1	1	1	0.5	1	1
6C14_R2_001	1	1	1	1	0.5	1	1	1	0.5	1	1
789C4_R1_001	1	1	1	1	0.5	0.25	1	1	0.25	0.5	0.5
789C4_R2_001	1	1	1	1	0.5	0.25	1	1	0.25	0.5	0.25
789H14_R1_001	1	1	1	1	0.25	1	1	1	0.5	1	0.5
789H14_R2_001	1	1	1	1	0.25	1	1	1	0.5	1	0.5
789H4_R1_001	1	1	1	1	0.5	0.5	1	1	0.25	0.5	1
789H4_R2_001	1	1	1	1	0.5	0.5	1	1	0.25	1	1
789H9_R1_001	1	1	1	1	0.25	0.5	1	1	0.5	1	1
789H9_R2_001	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
789L14_R1_001	1	1	1	1	0.25	1	1	1	0.5	1	0.5
789L14_R2_001	1	1	1	1	0.25	0.5	1	1	0.5	0.5	0.5
789L4_R1_001	1	1	1	1	0.5	0.25	1	1	0.5	0.5	1
789L4_R2_001	1	1	1	1	0.5	0.25	1	1	0.5	0.5	1
789L9_R1_001	1	1	1	1	0.25	1	1	1	0.25	1	1
789L9_R2_001	1	1	1	1	0.5	1	1	1	0.25	1	1
789M14_R1_001	1	1	1	1	0.25	1	1	1	0.25	0.5	1
789M14_R2_001	1	1	1	1	0.25	1	1	1	0.25	1	1
789M4_R1_001	1	1	1	1	0.5	0.5	1	1	0.25	0.5	1
789M4_R2_001	1	1	1	1	0.5	0.5	1	1	0.25	0.5	1
7C14_R1_001	1	1	1	1	0.5	0.5	1	1	0.25	1	1
7C14_R2_001	1	1	1	1	0.5	0.5	1	1	0.5	0.5	1
89C14_R1_001	1	1	1	1	0.25	1	1	1	0.25	1	1
89C14_R2_001	1	1	1	1	0.25	1	1	1	0.25	1	1
89C9_R1_001	1	1	1	1	0.25	1	1	1	0.25	0.5	0.5
89C9_R2_001	1	1	1	1	0.5	0.5	1	1	0.5	0.5	0.5
89M9_R1_001	1	1	1	1	0.25	1	1	1	0.5	1	0.5
