Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
101112C14_R1_001	(1, 7.618724626585899e-05)	(2, 0.22342998356695518)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 4.8977515456623635e-05)	(7, 0.0017359808256292154)	(8, 0.0)	(9, 0.0)	(10, 0.0024945881205906974)	(15, 1.088389232369414e-06)	(20, 0.0002318269064946852)	(25, 3.2651676971082425e-05)	(30, 0.00027862764348657)	(35, 0.003187892061610014)	(40, 0.0)	(45, 0.0)	(50, 9.251308475140019e-05)	(55, 1.088389232369414e-06)	(60, 0.02268203160257859)	(65, 3.265167697108242e-06)	(70, 0.0027721273748448974)	(75, 0.0)	(80, 0.0004037924052090526)	(85, 0.00033631227280214894)	(90, 7.618724626585898e-06)	(95, 6.530335394216484e-06)	(100, 0.0002623018050010288)	(105, 6.530335394216485e-05)	(110, 0.0003983504590472056)	(115, 2.2856173879757695e-05)	(120, 0.0)	(125, 2.829812004160477e-05)	(130, 1.850261695028004e-05)	(135, 0.00023509207419179347)	(140, 1.9591006182649454e-05)	(145, 0.00010992731246931084)	(150, 0.0)
101112C14_R2_001	(1, 0.0041739727061367035)	(2, 0.002171336518576981)	(3, 0.0)	(4, 0.007700353819013604)	(5, 0.00544194616184707)	(6, 0.0080812900503429)	(7, 0.002699205296276147)	(8, 0.0022039881955480635)	(9, 0.009207772905845244)	(10, 0.0018905320966256722)	(15, 0.0007531653487996346)	(20, 0.0009262192367463714)	(25, 0.00014475576790513208)	(30, 0.00048650998686912807)	(35, 2.6121341576865936e-05)	(40, 0.00020026361875597222)	(45, 0.0005855534070147448)	(50, 2.7209730809235352e-05)	(55, 0.00027971603271893943)	(60, 0.0006617406532806038)	(65, 0.00016870033101725918)	(70, 0.000215501068009144)	(75, 0.00013604865404617678)	(80, 1.4149060020802384e-05)	(85, 0.00045603508836278446)	(90, 0.00021441267877677457)	(95, 0.00018067261257332276)	(100, 0.0)	(105, 3.265167697108242e-06)	(110, 5.3331072386101285e-05)	(115, 3.700523390056008e-05)	(120, 7.618724626585899e-05)	(125, 0.0)	(130, 0.00023726885265653227)	(135, 0.000399438848279575)	(140, 5.877301854794837e-05)	(145, 3.8093623132929495e-05)	(150, 0.0)
101112C4_R1_001	(1, 5.31922023635636e-05)	(2, 0.22210404096905978)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 6.914986307263267e-05)	(7, 0.0017340657970521733)	(8, 0.0)	(9, 0.0)	(10, 0.002605354071767345)	(15, 2.127688094542544e-06)	(20, 0.00022234340587969583)	(25, 3.829838570176579e-05)	(30, 0.0002436202868251213)	(35, 0.003231958215610124)	(40, 0.0)	(45, 0.0)	(50, 0.00011808668924711119)	(55, 0.0)	(60, 0.02290137080560867)	(65, 3.1915321418138156e-06)	(70, 0.002837272074072482)	(75, 0.0)	(80, 0.000524475115304737)	(85, 0.00035426006774133355)	(90, 2.4468413087239254e-05)	(95, 1.4893816661797806e-05)	(100, 0.00033723856298499316)	(105, 8.936289997078685e-05)	(110, 0.0004978790141229553)	(115, 2.65961011817818e-05)	(120, 0.0)	(125, 6.595833093081886e-05)	(130, 1.702150475634035e-05)	(135, 0.00034362162726862084)	(140, 3.936222974903706e-05)	(145, 0.00015106585471252063)	(150, 0.0)
101112C4_R2_001	(1, 0.003941542195140062)	(2, 0.0022393917195060275)	(3, 0.0)	(4, 0.008106491640207093)	(5, 0.005781992396919363)	(6, 0.008851182473296982)	(7, 0.0032925973263045866)	(8, 0.002319180023051373)	(9, 0.009829918996786553)	(10, 0.002128751938589815)	(15, 0.0008819267151878844)	(20, 0.0010680994234603571)	(25, 0.00021064112135971185)	(30, 0.0005893696021882847)	(35, 4.1489917843579605e-05)	(40, 0.00030106786537776995)	(45, 0.0006755409700172577)	(50, 4.2553761890850875e-05)	(55, 0.0003606431320249612)	(60, 0.0008223514485406931)	(65, 0.00024042875468330746)	(70, 0.0003095786177559402)	(75, 0.00021383265350152563)	(80, 1.702150475634035e-05)	(85, 0.0005287304914938221)	(90, 0.00030213170942504125)	(95, 0.00026383332372327545)	(100, 2.127688094542544e-06)	(105, 1.0638440472712719e-05)	(110, 9.680980830168574e-05)	(115, 7.234139521444649e-05)	(120, 0.00012127822138892499)	(125, 0.0)	(130, 0.00030532324156685504)	(135, 0.00046170831651573205)	(140, 7.553292735626031e-05)	(145, 5.744757855264869e-05)	(150, 0.0)
101112C9_R1_001	(1, 6.466372223999876e-05)	(2, 0.20556058435743604)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 5.927507871999887e-05)	(7, 0.0016112044124799692)	(8, 0.0)	(9, 0.0)	(10, 0.0021468355783679587)	(15, 0.0)	(20, 0.0002036907250559961)	(25, 3.12541324159994e-05)	(30, 0.00024141122969599535)	(35, 0.002872146996159945)	(40, 0.0)	(45, 0.0)	(50, 9.484012595199817e-05)	(55, 2.1554574079999585e-06)	(60, 0.019955224683263616)	(65, 3.2331861119999376e-06)	(70, 0.002541284284031951)	(75, 0.0)	(80, 0.00043540239641599166)	(85, 0.0003060749519359941)	(90, 2.047684537599961e-05)	(95, 1.293274444799975e-05)	(100, 0.00025542170284799506)	(105, 7.436328057599857e-05)	(110, 0.00036858321676799295)	(115, 2.2632302783999566e-05)	(120, 0.0)	(125, 6.681917964799872e-05)	(130, 2.047684537599961e-05)	(135, 0.0002457221445119953)	(140, 2.1554574079999586e-05)	(145, 0.00011100605651199788)	(150, 0.0)
101112C9_R2_001	(1, 0.00783508767807985)	(2, 0.005512582320959894)	(3, 0.0)	(4, 0.007032179793599865)	(5, 0.004833613237439908)	(6, 0.00785125360863985)	(7, 0.0025649943155199506)	(8, 0.0021500687644799587)	(9, 0.008476336256959836)	(10, 0.0017610087023359662)	(15, 0.0007048345724159865)	(20, 0.000889126180799983)	(25, 0.00016597022041599683)	(30, 0.00045049059827199136)	(35, 3.556504723199932e-05)	(40, 0.00020907936857599599)	(45, 0.0005517970964479894)	(50, 3.556504723199932e-05)	(55, 0.0002823649204479946)	(60, 0.0006434040362879877)	(65, 0.0001778252361599966)	(70, 0.00022632302783999564)	(75, 0.000155192933375997)	(80, 2.047684537599961e-05)	(85, 0.0004224696519679919)	(90, 0.00022847848524799562)	(95, 0.001987331730175962)	(100, 0.0)	(105, 1.1855015743999772e-05)	(110, 7.436328057599857e-05)	(115, 5.1730977791999e-05)	(120, 8.298511020799841e-05)	(125, 1.0777287039999793e-06)	(130, 0.00024248895839999537)	(135, 0.0003707386741759929)	(140, 6.358599353599877e-05)	(145, 4.526460556799913e-05)	(150, 5.3886435199998965e-06)
101112H14_R1_001	(1, 4.301420538756148e-05)	(2, 0.19926330645787857)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 6.452130808134223e-05)	(7, 0.0015162507399115422)	(8, 0.0)	(9, 0.0)	(10, 0.0020453254661785486)	(15, 0.0)	(20, 0.0001881871485705815)	(25, 2.9034588636604e-05)	(30, 0.00023012599882345396)	(35, 0.002692689257261349)	(40, 0.0)	(45, 0.0)	(50, 7.957627996698875e-05)	(55, 0.0)	(60, 0.018982168837530882)	(65, 3.2260654040671115e-06)	(70, 0.0024195490530503337)	(75, 2.1507102693780743e-06)	(80, 0.00038067571767991915)	(85, 0.000318305119867955)	(90, 1.3979616750957483e-05)	(95, 1.1828906481579407e-05)	(100, 0.0002290506436887649)	(105, 8.172699023636683e-05)	(110, 0.0003709975214677178)	(115, 2.473316809784785e-05)	(120, 3.2260654040671115e-06)	(125, 8.495305564043394e-05)	(130, 1.075355134689037e-05)	(135, 0.00024518097070910046)	(140, 2.9034588636604e-05)	(145, 9.355589671794623e-05)	(150, 0.0)
101112H14_R2_001	(1, 0.009371719998814958)	(2, 0.006134901043400957)	(3, 0.0)	(4, 0.006704839264786146)	(5, 0.004693925162917647)	(6, 0.0074360807563746915)	(7, 0.002435679380070669)	(8, 0.001881871485705815)	(9, 0.007903860239964424)	(10, 0.0016388412252660925)	(15, 0.0006882272862009837)	(20, 0.0008484552012696503)	(25, 0.00015377578426053231)	(30, 0.00043444347441437103)	(35, 2.688387836722593e-05)	(40, 0.0001849610831665144)	(45, 0.0005118690441119816)	(50, 3.118529890598208e-05)	(55, 0.0002699141388069483)	(60, 0.000609726361368684)	(65, 0.0001591525599339775)	(70, 0.00021076960639905128)	(75, 0.00014087152264426385)	(80, 1.075355134689037e-05)	(85, 0.000406484240912456)	(90, 0.0002225985128806307)	(95, 0.00270236745347355)	(100, 0.0)	(105, 7.5274859428232605e-06)	(110, 7.850092483229972e-05)	(115, 3.8712784848805336e-05)	(120, 8.065163510167779e-05)	(125, 1.0753551346890372e-06)	(130, 0.00023765348476627722)	(135, 0.000347339708504559)	(140, 5.8069177273208e-05)	(145, 3.978813998349437e-05)	(150, 5.376775673445185e-06)
101112H4_R1_001	(1, 4.2229542478802356e-05)	(2, 0.2075634799761234)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 5.806562090835324e-05)	(7, 0.0016839030063422436)	(8, 0.0)	(9, 0.0)	(10, 0.002188546038963932)	(15, 0.0)	(20, 0.00021009197383204173)	(25, 3.483937254501194e-05)	(30, 0.00023226248363341295)	(35, 0.002889556444112051)	(40, 0.0)	(45, 0.0)	(50, 0.00010135090194912565)	(55, 0.0)	(60, 0.020122376991149323)	(65, 2.111477123940118e-06)	(70, 0.002569667659835123)	(75, 4.222954247880236e-06)	(80, 0.0004191282091021134)	(85, 0.00033889207839238886)	(90, 1.6891816991520942e-05)	(95, 1.4780339867580823e-05)	(100, 0.0002480985620629638)	(105, 9.50164705773053e-05)	(110, 0.0004370757646556044)	(115, 3.167215685910176e-05)	(120, 5.2786928098502945e-06)	(125, 6.651152940411371e-05)	(130, 1.6891816991520942e-05)	(135, 0.00023965265356720334)	(140, 2.744920261122153e-05)	(145, 0.00012563288887443698)	(150, 0.0)
101112H4_R2_001	(1, 0.007643547188663226)	(2, 0.005088659868695684)	(3, 0.0)	(4, 0.006999546665861491)	(5, 0.005278692809850294)	(6, 0.007685776731142028)	(7, 0.0027765924179812547)	(8, 0.001831706405018052)	(9, 0.008472301959809721)	(10, 0.0017662506141759083)	(15, 0.0007411284705029813)	(20, 0.0008678170979393884)	(25, 0.00015308209148565854)	(30, 0.00047085939863864625)	(35, 3.167215685910176e-05)	(40, 0.0002491543006249339)	(45, 0.0005796004705215622)	(50, 1.900329411546106e-05)	(55, 0.000269213333302365)	(60, 0.0006429447842397659)	(65, 0.0001879214640306705)	(70, 0.00021959362088977224)	(75, 0.0001668066927912693)	(80, 9.50164705773053e-06)	(85, 0.00044446593458939476)	(90, 0.00023120674507144288)	(95, 0.002029129516106453)	(100, 1.055738561970059e-06)	(105, 1.2668862743640707e-05)	(110, 8.129186927169453e-05)	(115, 4.328528104077241e-05)	(120, 9.290499345336518e-05)	(125, 4.222954247880236e-06)	(130, 0.0002649903790544848)	(135, 0.00039801343786271214)	(140, 8.445908495760471e-05)	(145, 4.8563973850622704e-05)	(150, 0.0)
