Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
101112C14_R1_001	(1, 35.994805934485825)	(2, 36.045374729419635)	(3, 36.27107318824415)	(4, 36.317176703093786)	(5, 36.325814704236485)	(6, 36.353367332073375)	(7, 36.30540354234778)	(8, 36.358521889058416)	(9, 36.359796719366294)	(10, 36.3892299640739)	(15, 36.377579747775584)	(20, 36.35567114732932)	(25, 36.29429253584298)	(30, 36.251578352134075)	(35, 36.21796979600158)	(40, 36.181956661537996)	(45, 36.15086377562551)	(50, 36.121570595728215)	(55, 36.08886491288342)	(60, 36.051315451715)	(65, 36.02372311943891)	(70, 35.9934246923627)	(75, 35.96537007764405)	(80, 35.91559752650487)	(85, 35.879884537139894)	(90, 35.83755821181785)	(95, 35.79909848719883)	(100, 35.74552630394608)	(105, 35.6907640106033)	(110, 35.645971482351854)	(115, 35.58648124795145)	(120, 35.531344461641595)	(125, 35.47578584831696)	(130, 35.39967395123766)	(135, 35.26298818678653)	(140, 35.25152017772961)	(145, 35.18294293809258)	(150, 35.076384680072614)
101112C14_R2_001	(1, 35.312902707417194)	(2, 35.70540699254165)	(3, 35.835337429776445)	(4, 35.77406650352075)	(5, 35.78113782278292)	(6, 35.764710165484686)	(7, 35.75968480030153)	(8, 35.80669586851257)	(9, 35.78519348757949)	(10, 35.810979703227815)	(15, 35.78240425072592)	(20, 35.760737501250965)	(25, 35.70495071800765)	(30, 35.65318566358465)	(35, 35.610030780191686)	(40, 35.56830679123861)	(45, 35.51865830558803)	(50, 35.46644586877106)	(55, 35.4364873674199)	(60, 35.37808798201154)	(65, 35.327431158156614)	(70, 35.270298418369094)	(75, 35.206119359620075)	(80, 35.160516024926075)	(85, 35.104054418590906)	(90, 35.04632085529544)	(95, 34.97823515400354)	(100, 34.944429022573686)	(105, 34.827568311525724)	(110, 34.79427755416519)	(115, 34.685696807738054)	(120, 34.65655344461859)	(125, 34.51814165810332)	(130, 34.419622340908646)	(135, 34.32842569558548)	(140, 34.222976571496645)	(145, 34.10173498494948)	(150, 34.02237973149329)
101112C4_R1_001	(1, 35.95084976670964)	(2, 36.01904913831824)	(3, 36.255260655621555)	(4, 36.304538443813186)	(5, 36.31305557925564)	(6, 36.34541766198143)	(7, 36.30128563425425)	(8, 36.35214312447167)	(9, 36.357201596532036)	(10, 36.385049512365796)	(15, 36.37384160681303)	(20, 36.35121486734822)	(25, 36.28887025506937)	(30, 36.24489022937966)	(35, 36.20994689928823)	(40, 36.17342800552433)	(45, 36.13900169300142)	(50, 36.111480866658425)	(55, 36.075304626423716)	(60, 36.037553088477566)	(65, 36.01057079062976)	(70, 35.98106916113982)	(75, 35.956462756841205)	(80, 35.90741406746516)	(85, 35.87347076141659)	(90, 35.82760476363833)	(95, 35.79115196650508)	(100, 35.73887199977361)	(105, 35.68857629368223)	(110, 35.64380650208716)	(115, 35.59131942619656)	(120, 35.53457839966791)	(125, 35.48374908004086)	(130, 35.41179105166729)	(135, 35.284016732564716)	(140, 35.27285643403305)	(145, 35.207465929862465)	(150, 35.108792202959314)
101112C4_R2_001	(1, 35.641682484254574)	(2, 35.895433332404245)	(3, 35.991742761658294)	(4, 35.92753732656416)	(5, 35.94896990108591)	(6, 35.92075925698578)	(7, 35.92090633342532)	(8, 35.97105461200863)	(9, 35.94512883896103)	(10, 35.972028529318585)	(15, 35.9465706136061)	(20, 35.92472522504025)	(25, 35.87642393929961)	(30, 35.82511371960943)	(35, 35.785596179267934)	(40, 35.74661591208563)	(45, 35.70239557466409)	(50, 35.65158828724726)	(55, 35.62497840928506)	(60, 35.57336105781843)	(65, 35.5264249073977)	(70, 35.47611037126668)	(75, 35.4187857730859)	(80, 35.37584965500601)	(85, 35.32783189434242)	(90, 35.274237973828164)	(95, 35.21203890605342)	(100, 35.18332943611797)	(105, 35.07560533258212)	(110, 35.044775291668806)	(115, 34.9508538305939)	(120, 34.92110013389541)	(125, 34.798433808793604)	(130, 34.713018334075535)	(135, 34.63233279509917)	(140, 34.53436298188679)	(145, 34.42494703652411)	(150, 34.35554934034222)
101112C9_R1_001	(1, 36.26290749865311)	(2, 36.40747736796665)	(3, 36.62581485720148)	(4, 36.663399999116265)	(5, 36.6699914956428)	(6, 36.68320385680305)	(7, 36.657964528284076)	(8, 36.7091585277493)	(9, 36.71324419726617)	(10, 36.73188008802457)	(15, 36.745830596351475)	(20, 36.732661021020775)	(25, 36.65110849246985)	(30, 36.60791024847789)	(35, 36.57906344944531)	(40, 36.54728395661797)	(45, 36.51621543063938)	(50, 36.48884847166753)	(55, 36.456348377096845)	(60, 36.42310344266424)	(65, 36.39610020635271)	(70, 36.365683717017326)	(75, 36.33718165106528)	(80, 36.290795625671635)	(85, 36.25906447975395)	(90, 36.21549695202157)	(95, 36.17972475455537)	(100, 36.127831330715814)	(105, 36.078929541653835)	(110, 36.033230169549356)	(115, 35.97988103599474)	(120, 35.92418310050262)	(125, 35.876771530028805)	(130, 35.807460372184984)	(135, 35.688246323086034)	(140, 35.67180108835511)	(145, 35.608033810073806)	(150, 35.51329890277518)
101112C9_R2_001	(1, 35.53657180750084)	(2, 35.968184317042784)	(3, 36.10254362295532)	(4, 36.05619185855716)	(5, 36.08916550712039)	(6, 36.04519600813599)	(7, 36.06935141101092)	(8, 36.12135661687165)	(9, 36.10457174671694)	(10, 36.139416429305896)	(15, 36.12826873768762)	(20, 36.115039790282616)	(25, 35.976888172606444)	(30, 35.912906049108)	(35, 35.879313428618204)	(40, 35.84594775623889)	(45, 35.80766316839522)	(50, 35.76404122614057)	(55, 35.74154546080608)	(60, 35.69037340389726)	(65, 35.64600613680278)	(70, 35.59340369680344)	(75, 35.537029820645465)	(80, 35.49587249305485)	(85, 35.44648282698585)	(90, 35.392394209880976)	(95, 35.32582046139075)	(100, 35.294283780840416)	(105, 35.18998224226414)	(110, 35.155533269323435)	(115, 35.05921276444633)	(120, 35.02418881246475)	(125, 34.90149739626134)	(130, 34.81507959080365)	(135, 34.73087370496078)	(140, 34.63146946261106)	(145, 34.51498374839001)	(150, 34.440968811285714)
101112H14_R1_001	(1, 36.34773828888523)	(2, 36.52878841296239)	(3, 36.74251642887249)	(4, 36.771979116388216)	(5, 36.776746058164775)	(6, 36.789459121638096)	(7, 36.76712001667661)	(8, 36.811477555698424)	(9, 36.81720715539156)	(10, 36.83506568564886)	(15, 36.85730026609125)	(20, 36.845937278728876)	(25, 36.75226408227284)	(30, 36.70579578242491)	(35, 36.67954584741668)	(40, 36.649232166861566)	(45, 36.6180158332064)	(50, 36.5916392213633)	(55, 36.557439293379836)	(60, 36.52500341021997)	(65, 36.498165643080924)	(70, 36.46635249807955)	(75, 36.43775364334353)	(80, 36.389557280054795)	(85, 36.357818603396495)	(90, 36.31568725382097)	(95, 36.27976499403958)	(100, 36.22325350093962)	(105, 36.17544196423939)	(110, 36.1282778666051)	(115, 36.07742531161237)	(120, 36.02109480078159)	(125, 35.970214017716586)	(130, 35.90063773398585)	(135, 35.780915339064585)	(140, 35.76075300022738)	(145, 35.69246226054597)	(150, 35.590744622673206)
101112H14_R2_001	(1, 35.69109810803631)	(2, 36.10303617381761)	(3, 36.245576325024366)	(4, 36.2231842588225)	(5, 36.24754062248115)	(6, 36.213358093743764)	(7, 36.23792479686676)	(8, 36.2950987947581)	(9, 36.2874269961562)	(10, 36.32193959439863)	(15, 36.31617703507061)	(20, 36.30643073661773)	(25, 36.14070773530371)	(30, 36.073908265862414)	(35, 36.04197003555178)	(40, 36.01333955462123)	(45, 35.97765116307454)	(50, 35.9351428585101)	(55, 35.91331403106712)	(60, 35.8654076050298)	(65, 35.821621025816754)	(70, 35.770768320274314)	(75, 35.716646072719705)	(80, 35.676256949012085)	(85, 35.626351545314904)	(90, 35.57194151121915)	(95, 35.506394110021844)	(100, 35.47326446149683)	(105, 35.37271318606381)	(110, 35.33529854842649)	(115, 35.24088129224566)	(120, 35.201279511307014)	(125, 35.07818867396183)	(130, 34.98344819828817)	(135, 34.88923030219576)	(140, 34.78143578944267)	(145, 34.65783278195395)	(150, 34.57780659490571)
101112H4_R1_001	(1, 36.224878542557136)	(2, 36.36166388409173)	(3, 36.58422576673541)	(4, 36.62577055718292)	(5, 36.6351486828289)	(6, 36.657963668235425)	(7, 36.63350484510098)	(8, 36.6793594242931)	(9, 36.68499917969114)	(10, 36.70639575922488)	(15, 36.71751643415432)	(20, 36.70376074134806)	(25, 36.62371122298655)	(30, 36.578417251528236)	(35, 36.550506564476805)	(40, 36.516550243337186)	(45, 36.484122262126796)	(50, 36.454289328531274)	(55, 36.42252500569571)	(60, 36.38889521393592)	(65, 36.36040213926417)	(70, 36.33049785885662)	(75, 36.30657144467898)	(80, 36.261895111951574)	(85, 36.22838828206209)	(90, 36.19055553174279)	(95, 36.152916002695086)	(100, 36.10593501380167)	(105, 36.0567266276902)	(110, 36.01707311897476)	(115, 35.96775409146201)	(120, 35.917085249410846)	(125, 35.86750616181812)	(130, 35.80413311089626)	(135, 35.68484495740201)	(140, 35.66567940682695)	(145, 35.59924208528636)	(150, 35.502377523241556)
101112H4_R2_001	(1, 35.608505747757455)	(2, 36.082014522317365)	(3, 36.24117819578925)	(4, 36.21106008609337)	(5, 36.24330476997463)	(6, 36.21172277318872)	(7, 36.230010698854585)	(8, 36.265603076928926)	(9, 36.25866602998593)	(10, 36.28341349204321)	(15, 36.26894086829429)	(20, 36.25341268545896)	(25, 36.139130696422164)	(30, 36.08185468349909)	(35, 36.04637905955231)	(40, 36.01445372602866)	(45, 35.97737445632104)	(50, 35.93342103001655)	(55, 35.90999004227389)	(60, 35.86100719359141)	(65, 35.819517586598536)	(70, 35.77250628745101)	(75, 35.71996131351614)	(80, 35.67831524606838)	(85, 35.6325940383288)	(90, 35.58017350429823)	(95, 35.519472738824426)	(100, 35.4888031640907)	(105, 35.39147141661745)	(110, 35.357791086652696)	(115, 35.26808809547086)	(120, 35.229133633486846)	(125, 35.11157355510037)	(130, 35.02184139386206)	(135, 34.93529233717503)	(140, 34.83177438402406)	(145, 34.71384145044965)	(150, 34.639037390248056)
