Sample	Unique Reads	Duplicate Reads
101112C14_R1_001	8710499.0	9665280.0
101112C14_R2_001	9217783.0	9157996.0
101112C4_R1_001	8886534.0	9913214.0
101112C4_R2_001	9272262.0	9527486.0
101112C9_R1_001	10762682.0	7794864.0
101112C9_R2_001	11335773.0	7221773.0
101112H14_R1_001	10876739.0	7721768.0
101112H14_R2_001	11387526.0	7210981.0
101112H4_R1_001	11268193.0	7675891.0
101112H4_R2_001	11726089.0	7217995.0
101112H9_R1_001	10821789.0	8543270.0
101112H9_R2_001	11477876.0	7887183.0
101112L14_R1_001	9856810.0	9278364.0
101112L14_R2_001	10288570.0	8846604.0
101112L4_R1_001	8660011.0	9989144.0
101112L4_R2_001	9059898.0	9589257.0
101112L9_R1_001	10814338.0	8506207.0
101112L9_R2_001	11370299.0	7950246.0
101112M14_R1_001	9304163.0	9163228.0
101112M14_R2_001	9776270.0	8691121.0
101112M4_R1_001	11390835.0	7102558.0
101112M4_R2_001	11878484.0	6614909.0
101112M9_R1_001	10781425.0	8221481.0
101112M9_R2_001	11143875.0	7859031.0
123C14_R1_001	10624182.0	7507592.0
123C14_R2_001	10921976.0	7209798.0
123C4_R1_001	9338449.0	9531894.0
123C4_R2_001	9744486.0	9125857.0
123C9_R1_001	10075013.0	8973712.0
123C9_R2_001	10597004.0	8451721.0
123H14_R1_001	8658547.0	9943470.0
123H14_R2_001	9093051.0	9508966.0
123H4_R1_001	9561475.0	8771584.0
123H4_R2_001	10009998.0	8323061.0
123H9_R1_001	9245925.0	9783792.0
123H9_R2_001	9590549.0	9439168.0
123L14_R1_001	9386985.0	8624065.0
123L14_R2_001	9844577.0	8166473.0
123L4_R1_001	9297278.0	9537372.0
123L4_R2_001	9796861.0	9037789.0
123L9_R1_001	10986350.0	7274385.0
123L9_R2_001	11491816.0	6768919.0
123M4_R1_001	9027983.0	9825807.0
123M4_R2_001	9538881.0	9314909.0
123M9_R1_001	9788036.0	8536366.0
123M9_R2_001	10137406.0	8186996.0
131415C14_R1_001	11064344.0	7923966.0
131415C14_R2_001	11635976.0	7352334.0
131415C4_R1_001	9218344.0	9850187.0
131415C4_R2_001	9625995.0	9442536.0
131415C9_R1_001	10847787.0	7674320.0
131415C9_R2_001	11320908.0	7201199.0
131415H14_R1_001	11408502.0	7807486.0
131415H14_R2_001	11921000.0	7294988.0
131415H4_R1_001	9504407.0	10861513.0
131415H4_R2_001	9866039.0	10499881.0
131415H9_R1_001	10501384.0	8249736.0
131415H9_R2_001	11030576.0	7720544.0
131415L14_R1_001	11565901.0	7707764.0
131415L14_R2_001	12124489.0	7149176.0
131415L4_R1_001	2048569.0	16953101.0
131415L4_R2_001	2332847.0	16668823.0
131415L9_R1_001	11172899.0	8122123.0
131415L9_R2_001	11805630.0	7489392.0
131415M14_R1_001	10817279.0	8582351.0
131415M14_R2_001	11513676.0	7885954.0
131415M4_R1_001	10541223.0	8493557.0
131415M4_R2_001	11082727.0	7952053.0
131415M9_R1_001	10947962.0	7973888.0
131415M9_R2_001	11391344.0	7530506.0
13M14_R1_001	8336091.0	10077010.0
13M14_R2_001	8582204.0	9830897.0
456C4_R1_001	12007433.0	7223800.0
456C4_R2_001	12393928.0	6837305.0
456H4_R1_001	7119320.0	10577160.0
456H4_R2_001	7540843.0	10155637.0
456H9_R1_001	7696151.0	14890351.0
456H9_R2_001	8253904.0	14332598.0
456L14_R1_001	10844300.0	7980459.0
456L14_R2_001	11161051.0	7663708.0
456L4_R1_001	4546621.0	13454797.0
456L4_R2_001	4778552.0	13222866.0
456L9_R1_001	7791655.0	10390025.0
456L9_R2_001	8142870.0	10038810.0
456M14_R1_001	9313948.0	9205686.0
456M14_R2_001	9694590.0	8825044.0
456M4_R1_001	11173020.0	7959529.0
456M4_R2_001	11734256.0	7398293.0
456M9_R1_001	8383106.0	9051932.0
456M9_R2_001	8830103.0	8604935.0
45C14_R1_001	4163374.0	14870168.0
45C14_R2_001	4557879.0	14475663.0
45C9_R1_001	8475691.0	9379123.0
45C9_R2_001	8967444.0	8887370.0
45H14_R1_001	7707488.0	11040649.0
45H14_R2_001	8034501.0	10713636.0
67C9_R1_001	9474958.0	12063086.0
67C9_R2_001	9884178.0	11653866.0
6C14_R1_001	11363510.0	7874056.0
6C14_R2_001	11732691.0	7504875.0
789C4_R1_001	3905762.0	14799642.0
789C4_R2_001	4240017.0	14465387.0
789H14_R1_001	9193213.0	8946293.0
789H14_R2_001	9528039.0	8611467.0
789H4_R1_001	7860514.0	11565670.0
789H4_R2_001	8346535.0	11079649.0
789H9_R1_001	10732058.0	8021691.0
789H9_R2_001	11355528.0	7398221.0
789L14_R1_001	10667395.0	7907337.0
789L14_R2_001	11168398.0	7406334.0
789L4_R1_001	9471258.0	9406927.0
789L4_R2_001	9864245.0	9013940.0
789L9_R1_001	8091686.0	10404929.0
789L9_R2_001	8528247.0	9968368.0
789M14_R1_001	9969004.0	11074991.0
789M14_R2_001	10410839.0	10633156.0
789M4_R1_001	7776236.0	11873868.0
789M4_R2_001	8189808.0	11460296.0
7C14_R1_001	8930699.0	9746459.0
7C14_R2_001	9430155.0	9247003.0
89C14_R1_001	10201296.0	11675572.0
89C14_R2_001	10714959.0	11161909.0
89C9_R1_001	9288263.0	9559969.0
89C9_R2_001	9692036.0	9156196.0
89M9_R1_001	10141363.0	8560566.0
89M9_R2_001	10634421.0	8067508.0
