Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
101112C14_R1_001	(1.0, 30.0206468299172)	(2.0, 18.481862941806288)	(3.0, 11.43676598119182)	(4.0, 6.879743104538419)	(5.0, 4.300683225348984)	(6.0, 2.873287905428102)	(7.0, 2.077287025280003)	(8.0, 1.5125867650665175)	(9.0, 1.200917872437814)	('>10', 10.10449543217817)	('>50', 2.365999725184991)	('>100', 5.1807507339190115)	('>500', 1.7439693317612759)	('>1k', 1.7427829959120122)	('>5k', 0.07822013002924302)	('>10k+', 0.0)
101112C14_R2_001	(1.0, 33.55275992845005)	(2.0, 17.75551936860894)	(3.0, 11.003511115262226)	(4.0, 6.453539899249866)	(5.0, 4.092837771439261)	(6.0, 2.6900838049890403)	(7.0, 1.9071670598098924)	(8.0, 1.424708226507946)	(9.0, 1.139775661672503)	('>10', 9.448652349030198)	('>50', 2.262372249771526)	('>100', 4.969682804123654)	('>500', 1.638992794372995)	('>1k', 1.5500071651652383)	('>5k', 0.11038980154650406)	('>10k+', 0.0)
101112C4_R1_001	(1.0, 29.448387269094823)	(2.0, 19.388105790093245)	(3.0, 12.050921527346114)	(4.0, 7.213925185676258)	(5.0, 4.343743918552789)	(6.0, 2.7134818160887337)	(7.0, 1.7836635344022804)	(8.0, 1.2622580231510436)	(9.0, 0.9139005221703298)	('>10', 7.030014033583874)	('>50', 1.917423871518549)	('>100', 5.4444334171726965)	('>500', 2.5509395278193234)	('>1k', 3.5802094265115674)	('>5k', 0.18567234862194754)	('>10k+', 0.17291978819649323)
101112C4_R2_001	(1.0, 32.027920621498666)	(2.0, 18.915466966105825)	(3.0, 11.687546814729414)	(4.0, 6.9601316970498965)	(5.0, 4.1635229017849404)	(6.0, 2.604032945551084)	(7.0, 1.657781845506267)	(8.0, 1.2361628130610598)	(9.0, 0.8793580443937885)	('>10', 6.611932226141526)	('>50', 1.7898970784869368)	('>100', 5.209492060991592)	('>500', 2.5215514779980475)	('>1k', 3.398481433123097)	('>5k', 0.2493630684857786)	('>10k+', 0.08735800509190601)
101112C9_R1_001	(1.0, 44.77550508280071)	(2.0, 15.371976025233423)	(3.0, 7.71836594784769)	(4.0, 4.5004008582868344)	(5.0, 2.827872637687089)	(6.0, 2.030585029862249)	(7.0, 1.4585529646002497)	(8.0, 1.0989277172577516)	(9.0, 0.8875233605095474)	('>10', 7.374962152447977)	('>50', 1.9300134100959914)	('>100', 5.314691184675426)	('>500', 2.2183050191004012)	('>1k', 2.2333833734613817)	('>5k', 0.25893523613336455)	('>10k+', 0.0)
101112C9_R2_001	(1.0, 48.854854372498046)	(2.0, 14.326051306555158)	(3.0, 7.054239929553904)	(4.0, 4.103760954425892)	(5.0, 2.657029823147979)	(6.0, 1.7786673426226072)	(7.0, 1.3238998681446208)	(8.0, 1.003726772241258)	(9.0, 0.8575428570574086)	('>10', 6.8453342152630565)	('>50', 1.8068610721718548)	('>100', 4.879216638990972)	('>500', 2.020400868189237)	('>1k', 2.0616852630629268)	('>5k', 0.22647122356565294)	('>10k+', 0.20025749250959027)
101112H14_R1_001	(1.0, 44.65400782831104)	(2.0, 16.008636400422905)	(3.0, 8.00995749425178)	(4.0, 4.739174802771027)	(5.0, 3.0009499805446134)	(6.0, 2.082135335041298)	(7.0, 1.5355438591300785)	(8.0, 1.1418072815430649)	(9.0, 0.9537214203365275)	('>10', 8.669868927926144)	('>50', 2.044613552562952)	('>100', 4.408836100481665)	('>500', 1.412274310643315)	('>1k', 1.270759565869259)	('>5k', 0.0677131401643206)	('>10k+', 0.0)
101112H14_R2_001	(1.0, 48.382153789440096)	(2.0, 15.085069008642465)	(3.0, 7.2424625818930055)	(4.0, 4.27292233526773)	(5.0, 2.7960088597533534)	(6.0, 1.9310062850270409)	(7.0, 1.363948758024505)	(8.0, 1.1121717609457942)	(9.0, 0.830687461174481)	('>10', 8.014233350843499)	('>50', 1.9643225171294565)	('>100', 4.1879055139826935)	('>500', 1.3310059016042888)	('>1k', 1.1583882886136063)	('>5k', 0.06523539112042505)	('>10k+', 0.26247819653767296)
101112H4_R1_001	(1.0, 45.50084579098749)	(2.0, 16.88382772610257)	(3.0, 8.285907956055803)	(4.0, 4.66345127645538)	(5.0, 2.7772144316791323)	(6.0, 1.7520205367967168)	(7.0, 1.1846505337894593)	(8.0, 0.9535896193307469)	(9.0, 0.6754382691229323)	('>10', 6.004894106258473)	('>50', 1.7538960328385285)	('>100', 4.741634377213204)	('>500', 2.09499553316345)	('>1k', 2.4955536279758417)	('>5k', 0.23208018223026367)	('>10k+', 0.0)
101112H4_R2_001	(1.0, 48.76135914928554)	(2.0, 16.04886239627804)	(3.0, 7.7442556310546005)	(4.0, 4.187231303808364)	(5.0, 2.556405300071056)	(6.0, 1.6313449959196473)	(7.0, 1.0884732705111864)	(8.0, 0.8725756461803406)	(9.0, 0.6143466299448866)	('>10', 5.632241093762617)	('>50', 1.6723388165630706)	('>100', 4.444050745316764)	('>500', 1.9669618746456432)	('>1k', 2.4409648550882563)	('>5k', 0.18890720523799487)	('>10k+', 0.1496810863319752)
101112H9_R1_001	(1.0, 42.5512329982455)	(2.0, 15.349346842330059)	(3.0, 8.052101888494727)	(4.0, 4.56941480354039)	(5.0, 2.9618614730339976)	(6.0, 1.9398072838178977)	(7.0, 1.4877309994090804)	(8.0, 1.0466205889677376)	(9.0, 0.8500349871144574)	('>10', 7.15802579374329)	('>50', 1.8934939325388194)	('>100', 5.756345401271465)	('>500', 2.724422350898598)	('>1k', 3.3196555100400813)	('>5k', 0.27781554085943627)	('>10k+', 0.062089605694397)
101112H9_R2_001	(1.0, 47.17083247145195)	(2.0, 14.06828914560016)	(3.0, 7.116572605406997)	(4.0, 4.123162883398283)	(5.0, 2.640538067102887)	(6.0, 1.7736488325661361)	(7.0, 1.285896297838076)	(8.0, 0.9646721481945062)	(9.0, 0.7975473804355864)	('>10', 6.776857686813178)	('>50', 1.7651290661657044)	('>100', 5.51469973444187)	('>500', 2.4670650984019082)	('>1k', 3.1349951752409297)	('>5k', 0.20797901225224733)	('>10k+', 0.19211439468940747)
101112L14_R1_001	(1.0, 34.380350723375756)	(2.0, 19.11648622120509)	(3.0, 10.870145251998037)	(4.0, 6.163919548555246)	(5.0, 3.846545716010756)	(6.0, 2.617162910756217)	(7.0, 1.9018867896141902)	(8.0, 1.398359207150498)	(9.0, 1.1419341192462602)	('>10', 9.855299636100199)	('>50', 2.2016034032383334)	('>100', 4.326220696731375)	('>500', 1.164834827414306)	('>1k', 0.9799469099834084)	('>5k', 0.03530403862038593)	('>10k+', 0.0)
