Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
101112C14_R1_001	101112C14_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18375779.0	2.7 Gbp	0.0	150.0	43.0	47.40206602704983	150.0	150	pass	pass	pass	pass	fail	warn	pass	pass	fail	pass	pass
101112C14_R2_001	101112C14_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18375779.0	2.7 Gbp	0.0	150.0	43.0	50.162675879137986	150.0	150	pass	pass	pass	pass	warn	warn	pass	pass	warn	pass	pass
101112C4_R1_001	101112C4_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18799748.0	2.8 Gbp	0.0	150.0	47.0	47.26942720801103	150.0	150	pass	pass	pass	pass	warn	fail	pass	pass	fail	pass	pass
101112C4_R2_001	101112C4_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18799748.0	2.8 Gbp	0.0	150.0	47.0	49.32120083036061	150.0	150	pass	pass	pass	pass	warn	fail	pass	pass	fail	pass	pass
101112C9_R1_001	101112C9_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18557546.0	2.7 Gbp	0.0	150.0	45.0	57.99625544109266	150.0	150	pass	pass	pass	pass	fail	warn	pass	pass	warn	pass	pass
101112C9_R2_001	101112C9_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18557546.0	2.7 Gbp	0.0	150.0	45.0	61.08443838609461	150.0	150	pass	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
101112H14_R1_001	101112H14_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18598507.0	2.7 Gbp	0.0	150.0	44.0	58.48178156609855	150.0	150	pass	pass	pass	pass	fail	pass	pass	pass	warn	pass	warn
101112H14_R2_001	101112H14_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18598507.0	2.7 Gbp	0.0	150.0	44.0	61.228171390829466	150.0	150	pass	pass	pass	pass	warn	pass	pass	pass	warn	warn	warn
101112H4_R1_001	101112H4_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18944084.0	2.8 Gbp	0.0	150.0	48.0	59.48132772938748	150.0	150	pass	pass	pass	pass	warn	fail	pass	pass	warn	pass	warn
101112H4_R2_001	101112H4_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18944084.0	2.8 Gbp	0.0	150.0	48.0	61.89841776765189	150.0	150	pass	pass	pass	pass	warn	fail	pass	pass	warn	warn	warn
101112H9_R1_001	101112H9_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	19365059.0	2.9 Gbp	0.0	150.0	45.0	55.883064028438525	150.0	150	pass	pass	pass	pass	fail	warn	pass	pass	warn	pass	pass
101112H9_R2_001	101112H9_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	19365059.0	2.9 Gbp	0.0	150.0	45.0	59.27106015887668	150.0	150	pass	pass	pass	pass	warn	warn	pass	pass	warn	warn	pass
101112L14_R1_001	101112L14_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	19135174.0	2.8 Gbp	0.0	150.0	45.0	51.51147174512779	150.0	150	pass	pass	pass	pass	fail	pass	pass	pass	warn	pass	pass
101112L14_R2_001	101112L14_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	19135174.0	2.8 Gbp	0.0	150.0	45.0	53.76783795473696	150.0	150	pass	pass	pass	pass	fail	warn	pass	pass	warn	pass	pass
101112L4_R1_001	101112L4_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18649155.0	2.7 Gbp	0.0	150.0	48.0	46.436478193359946	150.0	150	pass	pass	pass	pass	warn	fail	pass	pass	fail	warn	pass
