Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
101112C14_R1_001	52.59793397295017	43.0	150.0	150	18.181818181818183	18.375778999999998
101112C14_R2_001	49.837324120862014	43.0	150.0	150	0.0	18.375778999999998
101112C4_R1_001	52.73057279198897	47.0	150.0	150	18.181818181818183	18.799747999999997
101112C4_R2_001	50.67879916963939	47.0	150.0	150	18.181818181818183	18.799747999999997
101112C9_R1_001	42.00374455890734	45.0	150.0	150	9.090909090909092	18.557546
101112C9_R2_001	38.91556161390539	45.0	150.0	150	9.090909090909092	18.557546
101112H14_R1_001	41.51821843390145	44.0	150.0	150	9.090909090909092	18.598506999999998
101112H14_R2_001	38.771828609170534	44.0	150.0	150	0.0	18.598506999999998
101112H4_R1_001	40.51867227061252	48.0	150.0	150	9.090909090909092	18.944084
101112H4_R2_001	38.10158223234811	48.0	150.0	150	9.090909090909092	18.944084
101112H9_R1_001	44.116935971561475	45.0	150.0	150	9.090909090909092	19.365059
101112H9_R2_001	40.72893984112332	45.0	150.0	150	0.0	19.365059
101112L14_R1_001	48.48852825487221	45.0	150.0	150	9.090909090909092	19.135174
101112L14_R2_001	46.23216204526304	45.0	150.0	150	9.090909090909092	19.135174
101112L4_R1_001	53.563521806640054	48.0	150.0	150	18.181818181818183	18.649155
101112L4_R2_001	51.41925837372409	47.0	150.0	150	18.181818181818183	18.649155
101112L9_R1_001	44.02674873407276	45.0	150.0	150	9.090909090909092	19.320545
101112L9_R2_001	41.14918197014467	45.0	150.0	150	9.090909090909092	19.320545
101112M14_R1_001	49.618422278654826	44.0	150.0	150	9.090909090909092	18.467391
101112M14_R2_001	47.061991386031586	44.0	150.0	150	9.090909090909092	18.467391
101112M4_R1_001	38.40592310356479	47.0	150.0	150	18.181818181818183	18.493392999999998
101112M4_R2_001	35.769044450331236	47.0	150.0	150	9.090909090909092	18.493392999999998
101112M9_R1_001	43.264335522695255	44.0	150.0	150	9.090909090909092	19.002906
101112M9_R2_001	41.3569977727683	44.0	150.0	150	9.090909090909092	19.002906
123C14_R1_001	41.40572288516613	45.0	150.0	150	9.090909090909092	18.131774
123C14_R2_001	39.76333489599657	45.0	150.0	150	9.090909090909092	18.131774
123C4_R1_001	50.512564445776356	43.0	150.0	150	18.181818181818183	18.870343
123C4_R2_001	48.36084354724816	43.0	150.0	150	0.0	18.870343
123C9_R1_001	47.10925598533486	44.0	150.0	150	9.090909090909092	19.048724999999997
123C9_R2_001	44.368959979418655	44.0	150.0	150	9.090909090909092	19.048724999999997
123H14_R1_001	53.45372347914481	43.0	150.0	150	18.181818181818183	18.602017
123H14_R2_001	51.117932709761796	43.0	150.0	150	18.181818181818183	18.602017
123H4_R1_001	47.84572022402088	47.0	150.0	150	9.090909090909092	18.333059
123H4_R2_001	45.399195722914556	47.0	150.0	150	9.090909090909092	18.333059
123H9_R1_001	51.41323063323157	45.0	150.0	150	27.27272727272727	19.029716999999998
123H9_R2_001	49.60225309542238	45.0	150.0	150	9.090909090909092	19.029716999999998
123L14_R1_001	47.88208237050699	42.0	150.0	150	9.090909090909092	18.01105
123L14_R2_001	45.34146279641077	42.0	150.0	150	9.090909090909092	18.01105
123L4_R1_001	50.63737699154356	46.0	150.0	150	18.181818181818183	18.83465
123L4_R2_001	47.98490804303754	46.0	150.0	150	9.090909090909092	18.83465
123L9_R1_001	39.83621331187559	46.0	150.0	150	9.090909090909092	18.260735
123L9_R2_001	37.06816762892494	46.0	150.0	150	9.090909090909092	18.260735
123M4_R1_001	52.11582256897173	43.0	150.0	150	18.181818181818183	18.85379
123M4_R2_001	49.40603430368342	43.0	150.0	150	0.0	18.85379
123M9_R1_001	46.58469122188607	48.0	150.0	150	18.181818181818183	18.324402
123M9_R2_001	44.67810763163037	48.0	150.0	150	9.090909090909092	18.324402
131415C14_R1_001	41.73076445539805	44.0	150.0	150	9.090909090909092	18.98831
131415C14_R2_001	38.720323111169805	44.0	150.0	150	9.090909090909092	18.98831
131415C4_R1_001	51.65677174307062	44.0	150.0	150	9.090909090909092	19.068531
131415C4_R2_001	49.51894987000639	44.0	150.0	150	0.0	19.068531
131415C9_R1_001	41.43330233978057	46.0	150.0	150	9.090909090909092	18.522107
131415C9_R2_001	38.87894406221955	46.0	150.0	150	9.090909090909092	18.522107
131415H14_R1_001	40.630159190058535	45.0	150.0	150	9.090909090909092	19.215988
131415H14_R2_001	37.96312209495267	45.0	150.0	150	0.0	19.215988
131415H4_R1_001	53.331809896057784	49.0	150.0	150	18.181818181818183	20.36592
131415H4_R2_001	51.55613724107448	49.0	150.0	150	18.181818181818183	20.36592
131415H9_R1_001	43.99596725100757	45.0	150.0	150	9.090909090909092	18.75112
131415H9_R2_001	41.17377596356201	45.0	150.0	150	0.0	18.75112
131415L14_R1_001	39.99117388715475	44.0	150.0	150	9.090909090909092	19.273664999999998
131415L14_R2_001	37.09297998895834	45.0	150.0	150	9.090909090909092	19.273664999999998
131415L4_R1_001	89.21900888947809	38.0	150.0	150	18.181818181818183	19.00167
131415L4_R2_001	87.72293778430202	38.0	150.0	150	18.181818181818183	19.00167
131415L9_R1_001	42.0944009732358	45.0	150.0	150	9.090909090909092	19.295022
131415L9_R2_001	38.81515394550667	45.0	150.0	150	0.0	19.295022
131415M14_R1_001	44.23976876401435	43.0	150.0	150	9.090909090909092	19.39963
131415M14_R2_001	40.650026866709666	43.0	150.0	150	9.090909090909092	19.39963
131415M4_R1_001	44.62125281949777	46.0	150.0	150	0.0	19.034779999999998
131415M4_R2_001	41.77644103353312	46.0	150.0	150	0.0	19.034779999999998
131415M9_R1_001	42.14116917553241	46.0	150.0	150	9.090909090909092	18.92185
131415M9_R2_001	39.797938889771565	46.0	150.0	150	9.090909090909092	18.92185
13M14_R1_001	54.72739545371569	43.0	150.0	150	18.181818181818183	18.413100999999997
13M14_R2_001	53.390777960553656	43.0	150.0	150	9.090909090909092	18.413100999999997
456C4_R1_001	37.56285665636372	50.0	150.0	150	9.090909090909092	19.231233
456C4_R2_001	35.553132248214695	50.0	150.0	150	9.090909090909092	19.231233
456H4_R1_001	59.76985810490736	43.0	150.0	150	18.181818181818183	17.696479999999998
456H4_R2_001	57.38789703153921	43.0	150.0	150	18.181818181818183	17.696479999999998
456H9_R1_001	65.9258856416381	40.0	150.0	150	9.090909090909092	22.586502
456H9_R2_001	63.45647672308698	40.0	150.0	150	9.090909090909092	22.586502
456L14_R1_001	42.393419223930096	43.0	150.0	150	9.090909090909092	18.824759
456L14_R2_001	40.71078989012923	44.0	150.0	150	0.0	18.824759
456L4_R1_001	74.74298899900967	42.0	150.0	150	18.181818181818183	18.001417999999997
456L4_R2_001	73.45458502764137	42.0	150.0	150	18.181818181818183	18.001417999999997
456L9_R1_001	57.14557438941569	44.0	150.0	150	18.181818181818183	18.18168
456L9_R2_001	55.21387533947366	44.0	150.0	150	9.090909090909092	18.18168
456M14_R1_001	49.70771143966148	45.0	150.0	150	9.090909090909092	18.519634
456M14_R2_001	47.65237243161291	45.0	150.0	150	9.090909090909092	18.519634
456M4_R1_001	41.60203532037598	47.0	150.0	150	18.181818181818183	19.132548999999997
456M4_R2_001	38.668625363503196	47.0	150.0	150	9.090909090909092	19.132548999999997
456M9_R1_001	51.918054055497414	43.0	150.0	150	9.090909090909092	17.435038
456M9_R2_001	49.35427006690959	43.0	150.0	150	0.0	17.435038
45C14_R1_001	78.1261245435013	41.0	150.0	150	18.181818181818183	19.033542
45C14_R2_001	76.05343859998408	41.0	150.0	150	18.181818181818183	19.033542
45C9_R1_001	52.52994114887592	42.0	150.0	150	18.181818181818183	17.854813999999998
45C9_R2_001	49.77576812560369	42.0	150.0	150	0.0	17.854813999999998
45H14_R1_001	58.88931326319178	40.0	150.0	150	9.090909090909092	18.748137
45H14_R2_001	57.14507472808731	40.0	150.0	150	9.090909090909092	18.748137
67C9_R1_001	56.00827293675466	46.0	150.0	150	9.090909090909092	21.538044
67C9_R2_001	54.10828745503858	46.0	150.0	150	9.090909090909092	21.538044
6C14_R1_001	40.93062502019262	46.0	150.0	150	0.0	19.237565999999998
6C14_R2_001	39.011565795299795	46.0	150.0	150	0.0	19.237565999999998
789C4_R1_001	79.11961013065878	25.0	150.0	150	18.181818181818183	18.705403999999998
789C4_R2_001	77.33266598769175	25.0	150.0	150	27.27272727272727	18.705403999999998
789H14_R1_001	49.31939032583792	44.0	150.0	150	9.090909090909092	18.139506
789H14_R2_001	47.47354975261634	44.0	150.0	150	9.090909090909092	18.139506
789H4_R1_001	59.53650353185103	45.0	150.0	150	9.090909090909092	19.426184
789H4_R2_001	57.03461757285659	45.0	150.0	150	9.090909090909092	19.426184
789H9_R1_001	42.7738048261879	45.0	150.0	150	9.090909090909092	18.753749
789H9_R2_001	39.44929574454298	45.0	150.0	150	9.090909090909092	18.753749
789L14_R1_001	42.57040016408341	43.0	150.0	150	9.090909090909092	18.574732
789L14_R2_001	39.87317046552694	43.0	150.0	150	9.090909090909092	18.574732
789L4_R1_001	49.82961695176724	49.0	150.0	150	9.090909090909092	18.878185
789L4_R2_001	47.74792149306361	49.0	150.0	150	9.090909090909092	18.878185
789L9_R1_001	56.25315392789217	44.0	150.0	150	18.181818181818183	18.496615
789L9_R2_001	53.89293278283867	44.0	150.0	150	9.090909090909092	18.496615
789M14_R1_001	52.62779837351494	44.0	150.0	150	18.181818181818183	21.043995
789M14_R2_001	50.52822090215228	44.0	150.0	150	18.181818181818183	21.043995
789M4_R1_001	60.42649286980761	44.0	150.0	150	9.090909090909092	19.650104
789M4_R2_001	58.32180903155322	44.0	150.0	150	9.090909090909092	19.650104
7C14_R1_001	52.18384611845461	43.0	150.0	150	9.090909090909092	18.677158
7C14_R2_001	49.50969363894975	43.0	150.0	150	0.0	18.677158
89C14_R1_001	53.3694861725089	43.0	150.0	150	18.181818181818183	21.876867999999998
89C14_R2_001	51.02151417993548	43.0	150.0	150	18.181818181818183	21.876867999999998
89C9_R1_001	50.7207763126074	43.0	150.0	150	18.181818181818183	18.848232
89C9_R2_001	48.57854360182645	43.0	150.0	150	0.0	18.848232
89M9_R1_001	45.7737111956501	46.0	150.0	150	9.090909090909092	18.701929
89M9_R2_001	43.13730496535872	46.0	150.0	150	0.0	18.701929
